,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP
247,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2005-08-01,3.04
248,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2005-09-01,1.93
249,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2005-10-01,2.67
250,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2005-11-01,0.76
251,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2005-12-01,0.29
252,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2006-01-01,0.02
253,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2006-02-01,0.0
254,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2006-03-01,1.3
255,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2006-04-01,1.49
256,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2006-05-01,1.05
257,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2006-06-01,3.02
258,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2006-07-01,0.86
259,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2006-08-01,4.28
260,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2006-09-01,2.12
261,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2006-10-01,1.43
262,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2006-11-01,0.27
263,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2006-12-01,2.81
264,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2007-01-01,0.51
265,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2007-02-01,2.04
266,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2007-03-01,4.83
267,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2007-04-01,1.77
268,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2007-05-01,5.39
269,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2007-06-01,2.6
270,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2007-07-01,6.02
271,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2007-08-01,2.56
272,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2007-09-01,1.95
273,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2007-10-01,2.34
274,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2007-11-01,0.27
275,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2007-12-01,2.31
276,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2008-01-01,0.44
277,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2008-02-01,1.3
278,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2008-03-01,0.41
279,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2008-04-01,1.95
280,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2008-05-01,6.85
281,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2008-06-01,1.85
282,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2008-07-01,4.02
283,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2008-08-01,3.41
284,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2008-09-01,1.42
285,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,2008-10-01,6.03
