STATION,NAME,DATE,AWND,PRCP,SNOW,TAVG
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1987-01,11.2,2.22,0,55.2
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1987-02,13.4,6.01,0,59.9
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1987-03,12.5,0.42,0,62.3
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1987-04,12.5,1.13,0,68.2
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1987-05,12.1,4.15,0,78.2
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1987-06,9.6,4.92,0,81
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1987-07,11,3.17,0,83.2
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1987-08,11.9,3.49,0,84.1
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1987-09,11,0.98,0,81.4
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1987-10,10.5,1.44,0,73.1
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1987-11,12.8,1.8,0,63.9
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1987-12,12.8,0.94,0,60.3
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1988-01,12.8,0.85,0,53.1
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1988-02,14.1,1.13,0,58.3
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1988-03,16.1,0.91,0,63.5
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1988-04,12.3,0.52,0,71.3
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1988-05,9.4,0.94,0,76.5
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1988-06,8.3,1.64,0,81.2
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1988-07,10.3,1.8,0,85.2
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1988-08,12.3,1.52,0,85.5
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1988-09,13.9,6.27,0,80.9
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1988-10,9.6,2.6,0,74.7
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1988-11,13.4,0.13,0,69.5
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1988-12,12.3,0.98,0,61
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1989-01,11.6,1.96,0,61.8
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1989-02,14.1,0.96,0,57.3
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1989-03,14.1,0.21,0,64.8
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1989-04,12.8,3.59,0,71.7
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1989-05,13.6,0.1,0,81.9
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1989-06,11.9,3.17,0,83.4
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1989-07,10.1,1.02,0,84
